dataset,exp,mode,n_epochs,lr,batch_size,hidden_size,n_layers,seq_enc,tab_enc,save_weights,train,linear,finetune,fold,exclude,unlabel_ratio,label_ratio,seed,scaler,norm_type,max_auc,max_auc_lp,max_auc_ft,max_auc_all
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,1.0,0,quantile,global,0.5607660455486542,0.5284679089026915,0.7846790890269152,0.7846790890269152
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,1.0,1,quantile,global,0.520496894409938,0.5169772256728778,0.7746376811594203,0.7746376811594203
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,1.0,2,quantile,global,0.5026915113871635,0.5,0.8016563146997929,0.8016563146997929
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,1.0,3,quantile,global,0.5184265010351967,0.5,0.7677018633540372,0.7677018633540372
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,1.0,0,quantile,global,0.5531128801796285,0.5095325576648295,0.8107164727495407,0.8107164727495407
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,1.0,1,quantile,global,0.5310471524800979,0.5444172280057155,0.7833843641559501,0.7833843641559501
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,1.0,2,quantile,global,0.5374974484588693,0.5087364768320065,0.7873035313329251,0.7873035313329251
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,1.0,3,quantile,global,0.5041437027964891,0.5,0.7916513574198816,0.7916513574198816
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,1.0,1.0,0,quantile,global,0.5496417813237808,0.5,0.8260807620288203,0.8260807620288203
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,1.0,1.0,1,quantile,global,0.5278026540747374,0.511011153626964,0.7971993812586502,0.7971993812586502
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,1.0,1.0,2,quantile,global,0.5232842139542457,0.5032565334201743,0.7912358544329561,0.7912358544329561
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,1.0,1.0,3,quantile,global,0.5542212814459009,0.5,0.7979321012781894,0.7979321012781894
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,1.0,1.0,0,quantile,global,0.5462840627580512,0.5717588769611892,0.8363336085879438,0.8363336085879438
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,1.0,1.0,1,quantile,global,0.5601568951279935,0.5127580511973576,0.8082576383154417,0.8082576383154417
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,1.0,1.0,2,quantile,global,0.5113129644921552,0.5016102394715111,0.799421965317919,0.799421965317919
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,1.0,1.0,3,quantile,global,0.5996696944673823,0.5,0.786581337737407,0.786581337737407
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,1.0,1.0,0,quantile,global,0.5417184265010352,0.5,0.8406832298136646,0.8406832298136646
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,1.0,1.0,1,quantile,global,0.5661490683229813,0.5042443064182195,0.8146997929606625,0.8146997929606625
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,1.0,1.0,2,quantile,global,0.5071428571428571,0.5037267080745341,0.8091097308488613,0.8091097308488613
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,1.0,1.0,3,quantile,global,0.5750517598343685,0.5,0.8151138716356109,0.8151138716356109
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,1.0,1.0,0,quantile,global,0.5594202898550724,0.5156314699792961,0.7835403726708075,0.7835403726708075
